job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_transfer_ms,time_operation_ms,time_preprocessing_ms,time_write_ms
211864,ASPT_SPMM_SYMMETRIC,bcsstk17.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,56.215337,140.98124,0.093184,,
211871,ASPT_SPMM_SYMMETRIC,bcsstk18.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,31.922258,53.090057,0.0648,,
211872,ASPT_SPMM_SYMMETRIC,bcsstk18.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,28.184097,52.792068,0.064224,,
211873,ASPT_SPMM_SYMMETRIC,bcsstk18.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,28.221407,51.439827,0.058144,,
211880,ASPT_SPMM_SYMMETRIC,bcsstk21.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,49.490025,13.010678,0.056864,,
211881,ASPT_SPMM_SYMMETRIC,bcsstk21.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.576327,13.481271,0.059584,,
211882,ASPT_SPMM_SYMMETRIC,bcsstk21.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,22.766552,13.485409,0.06448,,
211889,ASPT_SPMM_SYMMETRIC,bcsstk23.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,24.469099,20.641229,0.058368,,
211890,ASPT_SPMM_SYMMETRIC,bcsstk23.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,19.086019,19.686045,0.059232,,
211891,ASPT_SPMM_SYMMETRIC,bcsstk23.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,20.828241,20.135961,0.05728,,
211898,ASPT_SPMM_SYMMETRIC,bcsstk24.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,70.23571,55.559535,0.05904,,
211899,ASPT_SPMM_SYMMETRIC,bcsstk24.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,28.743949,56.921753,0.056992,,
211900,ASPT_SPMM_SYMMETRIC,bcsstk24.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,27.798622,56.80278,0.05872,,
211907,ASPT_SPMM_SYMMETRIC,bcsstk25.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,71.165677,87.790283,0.071904,,
211908,ASPT_SPMM_SYMMETRIC,bcsstk25.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,37.583752,87.393347,0.068288,,
211909,ASPT_SPMM_SYMMETRIC,bcsstk25.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,39.067999,89.153263,0.084608,,
211916,ASPT_SPMM_SYMMETRIC,bcsstk26.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,174.979676,14.912249,0.058464,,
211917,ASPT_SPMM_SYMMETRIC,bcsstk26.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,16.837676,15.019059,0.061184,,
211918,ASPT_SPMM_SYMMETRIC,bcsstk26.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,15.950519,15.12604,0.059136,,
211925,ASPT_SPMM_SYMMETRIC,bcsstk27.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,95.317751,21.164884,0.061184,,
211926,ASPT_SPMM_SYMMETRIC,bcsstk27.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,20.091077,22.952029,0.070016,,
211927,ASPT_SPMM_SYMMETRIC,bcsstk27.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,19.615463,23.546827,0.059296,,
211934,ASPT_SPMM_SYMMETRIC,bcsstk28.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,61.417628,73.189398,0.070784,,
211935,ASPT_SPMM_SYMMETRIC,bcsstk28.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,34.458341,72.71609,0.065056,,
211936,ASPT_SPMM_SYMMETRIC,bcsstk28.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,33.905343,73.215768,0.06496,,
211943,ASPT_SPMM_SYMMETRIC,bcsstk29.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,94.376583,179.481202,0.120832,,
211944,ASPT_SPMM_SYMMETRIC,bcsstk29.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,57.435458,179.09145,0.095232,,
211945,ASPT_SPMM_SYMMETRIC,bcsstk29.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,58.494929,177.886466,0.09728,,
211952,ASPT_SPMM_SYMMETRIC,bcsstk33.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,57.903137,171.263257,0.09216,,
211953,ASPT_SPMM_SYMMETRIC,bcsstk33.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,56.192574,170.10953,0.091136,,
211954,ASPT_SPMM_SYMMETRIC,bcsstk33.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,65.743944,177.484742,0.093184,,
211961,ASPT_SPMM_SYMMETRIC,bcsstm10.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,76.628448,11.217089,0.0552,,
211962,ASPT_SPMM_SYMMETRIC,bcsstm10.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.164894,11.99482,0.060032,,
211963,ASPT_SPMM_SYMMETRIC,bcsstm10.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,14.637663,12.973728,0.057088,,
211970,ASPT_SPMM_SYMMETRIC,bcsstm12.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,23.074409,11.758465,0.064224,,
211971,ASPT_SPMM_SYMMETRIC,bcsstm12.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,14.780652,11.425951,0.060768,,
211972,ASPT_SPMM_SYMMETRIC,bcsstm12.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,15.582508,11.442953,0.057056,,
211979,ASPT_SPMM_SYMMETRIC,bcsstm13.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,31.59319,12.488967,0.06656,,
211980,ASPT_SPMM_SYMMETRIC,bcsstm13.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,16.359317,12.191198,0.070656,,
211981,ASPT_SPMM_SYMMETRIC,bcsstm13.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,15.571697,11.964653,0.074752,,
211988,ASPT_SPMM_SYMMETRIC,bcsstm25.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,100.4121,10.362223,0.048384,,
211989,ASPT_SPMM_SYMMETRIC,bcsstm25.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,31.657401,9.87073,0.038368,,
211990,ASPT_SPMM_SYMMETRIC,bcsstm25.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,18.191338,9.56693,0.045792,,
211997,ASPT_SPMM_SYMMETRIC,bcsstm27.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,76.769263,22.484732,0.059808,,
211998,ASPT_SPMM_SYMMETRIC,bcsstm27.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,17.443894,22.54207,0.059424,,
211999,ASPT_SPMM_SYMMETRIC,bcsstm27.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,22.238089,23.708992,0.059168,,
212033,ASPT_SPMM_SYMMETRIC,blckhole.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,27.160444,9.610952,0.058656,,
212034,ASPT_SPMM_SYMMETRIC,blckhole.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,13.797796,9.591115,0.065728,,
212035,ASPT_SPMM_SYMMETRIC,blckhole.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,14.904324,8.927608,0.059616,,
212042,ASPT_SPMM_SYMMETRIC,can_1054.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,119.687844,8.16211,0.063264,,
212043,ASPT_SPMM_SYMMETRIC,can_1054.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.588409,8.619279,0.060256,,
212044,ASPT_SPMM_SYMMETRIC,can_1054.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,14.164324,8.403043,0.056224,,
212051,ASPT_SPMM_SYMMETRIC,can_1072.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,33.325795,8.350444,0.059968,,
212052,ASPT_SPMM_SYMMETRIC,can_1072.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,14.989886,10.066809,0.064064,,
212053,ASPT_SPMM_SYMMETRIC,can_1072.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,13.899058,8.645279,0.058816,,
212060,ASPT_SPMM_SYMMETRIC,can_838.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,31.382468,8.368519,0.05888,,
212061,ASPT_SPMM_SYMMETRIC,can_838.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,14.071101,7.956775,0.063072,,
212062,ASPT_SPMM_SYMMETRIC,can_838.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,20.579947,7.608672,0.057792,,
212069,ASPT_SPMM_SYMMETRIC,dwt_1242.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,17.468693,8.283359,0.059648,,
212070,ASPT_SPMM_SYMMETRIC,dwt_1242.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.4334,7.884861,0.064832,,
212071,ASPT_SPMM_SYMMETRIC,dwt_1242.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,55.35125,7.779733,0.065472,,
212078,ASPT_SPMM_SYMMETRIC,dwt_2680.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,55.928314,12.065845,0.063424,,
212079,ASPT_SPMM_SYMMETRIC,dwt_2680.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,16.239575,12.27127,0.058496,,
212080,ASPT_SPMM_SYMMETRIC,dwt_2680.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,15.570297,12.308811,0.05616,,
212087,ASPT_SPMM_SYMMETRIC,dwt_992.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,67.241375,10.076127,0.059488,,
212088,ASPT_SPMM_SYMMETRIC,dwt_992.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.036574,9.525172,0.062688,,
212089,ASPT_SPMM_SYMMETRIC,dwt_992.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,17.166364,9.996677,0.058304,,
212096,ASPT_SPMM_SYMMETRIC,eris1176.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,14.348291,10.49837,0.067584,,
212097,ASPT_SPMM_SYMMETRIC,eris1176.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,13.757582,9.873105,0.073728,,
212098,ASPT_SPMM_SYMMETRIC,eris1176.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,17.326366,11.260441,0.063488,,
212114,ASPT_SPMM_SYMMETRIC,gemat11.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,76.950902,14.216825,0.063808,,
212115,ASPT_SPMM_SYMMETRIC,gemat11.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,28.193979,24.588767,0.065536,,
212116,ASPT_SPMM_SYMMETRIC,gemat11.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,20.077283,17.846192,0.067168,,
212123,ASPT_SPMM_SYMMETRIC,gemat12.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,44.202389,15.800539,0.061376,,
212124,ASPT_SPMM_SYMMETRIC,gemat12.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,17.932714,14.73622,0.05744,,
212125,ASPT_SPMM_SYMMETRIC,gemat12.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,18.486023,15.852146,0.058304,,
212132,ASPT_SPMM_SYMMETRIC,lns_3937.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,22.674832,14.66191,0.063008,,
