job_id,matrix,perm,perm_type,rows,cols,nnz,density,bandwidth_lower,bandwidth_upper,bandwidth_max,bandwidth_avg,locality_profile,locality_avg_row_spread,locality_max_row_spread,locality_max_nnz_per_row,locality_avg_nnz_per_row,locality_num_empty_rows,locality_consecutive_vertical_pairs,locality_total_vertical_pairs,locality_vertical_adjacency_ratio,locality_avg_col_spread,locality_max_col_spread,locality_num_empty_cols,access_dist_reuse_distance_mean,access_dist_reuse_distance_median,access_dist_reuse_distance_max,access_dist_reuse_distance_std,access_dist_reuse_distance_count,access_dist_reuse_distance_cold_misses,access_dist_index_distance_mean,access_dist_index_distance_median,access_dist_index_distance_max,access_dist_index_distance_std,block_density_4,nonzero_blocks_4,total_blocks_4,max_blocks_per_row_4,avg_blocks_per_row_4,block_density_8,nonzero_blocks_8,total_blocks_8,max_blocks_per_row_8,avg_blocks_per_row_8,block_density_16,nonzero_blocks_16,total_blocks_16,max_blocks_per_row_16,avg_blocks_per_row_16,block_density_32,nonzero_blocks_32,total_blocks_32,max_blocks_per_row_32,avg_blocks_per_row_32,block_density_64,nonzero_blocks_64,total_blocks_64,max_blocks_per_row_64,avg_blocks_per_row_64,block_density_128,nonzero_blocks_128,total_blocks_128,max_blocks_per_row_128,avg_blocks_per_row_128
1228666,Pres_Poisson.mtx,None,ROW,14822,14822,715804,0.003258220734472589,12583,12583,12583,404.19134008751,19584962,1321.344083119687,12585,50,48.29334772635272,0,536452,700982,0.765286412489907,1321.344083119687,12585,0,92.50592882556185,49.0,13095,406.28379857878014,700982,14822,54.701018296933654,1.0,12585,499.8207431142474,0.479319340875975,93336,13734436,68,25.185105234754452,0.31293017822668645,35741,3433609,41,19.288181327576904,0.2026900598042769,13795,859329,35,14.88133764832794,0.12622378904839293,5538,215296,25,11.935344827586206,0.07293690982366444,2396,53824,21,10.327586206896552,0.040229474202923575,1086,13456,17,9.362068965517242
1228667,3elt.mtx,None,ROW,4720,4720,27444,0.0012318658431485206,4498,4498,4498,77.31613467424573,1060298,224.63940677966102,4660,9,5.814406779661017,0,1093,22724,0.048098926245379335,224.63940677966102,4660,0,87.3403450096814,47.0,4564,282.02468926532964,22724,4720,77.27613599096308,14.0,4563,363.9651752783719,0.0919360025727609,18657,1392400,25,15.811016949152542,0.04368950585838003,9815,348100,37,16.635593220338983,0.02277525493945188,4707,87025,50,15.95593220338983,0.01192205571619217,2248,21904,39,15.18918918918919,0.006369006951045628,1052,5476,35,14.216216216216216,0.00351163276336478,477,1369,26,12.891891891891891
1228668,G2_circuit.mtx,None,ROW,150102,150102,726674,3.225274357728848e-05,93719,93719,93719,3032.8423804897384,2200607636,14660.748264513464,118092,6,4.8412013164381555,0,297284,576572,0.5156060301228641,14660.748264513464,118092,0,5727.94554713028,4.0,109102,17829.774901288176,576572,150102,6056.459132236921,197.0,118964,17347.76002000286,0.16185372016279054,280606,1408200676,11,7.477642168096787,0.06645254531408204,170863,352050169,19,9.106379576826733,0.024538125108056707,115680,88021924,35,12.329993604775101,0.008066411800227337,87975,22005481,67,18.753997015561716,0.0023964696005842226,74030,5503716,131,31.555839727195227,0.001444006548357887,30715,1375929,178,26.184995737425403
1228669,onetone1.mtx,None,ROW,36057,36057,341088,0.0002623537406335929,8505,8176,8505,1320.222643423398,44860865,1244.165210638711,16232,81,9.45968882602546,0,69194,305031,0.22684251764574748,989.8754194747206,16075,0,382.22827188056294,69.0,2230,543.897818421401,305031,36057,263.1407793319593,127.0,9056,817.0540687006995,0.10853384109399342,196418,81270225,116,21.787909040488074,0.04576720939818631,116448,20322064,100,25.831410825199644,0.018283771544626196,72872,5080516,109,32.33007985803017,0.0070470677216662786,47267,1270129,103,41.940550133096714,0.002639411648177496,31550,318096,97,55.93971631205674,0.0010848545792079209,19190,79524,102,68.04964539007092
1228670,Alemdar.mtx,None,ROW,6245,6245,42581,0.0010918198129360173,5912,5912,5912,1840.2712007702967,28081891,4496.699919935949,5939,10,6.8184147317854285,0,179,36336,0.004926243945398503,4496.699919935949,5939,0,2947.5135953324525,2440.5,6238,1845.1218254139148,36336,6245,1318.8715359323626,726.0,6209,1537.111254793397,0.08128627061698228,32740,2439844,34,20.96030729833547,0.024493911754960792,27163,609961,54,34.7797695262484,0.008682571971081066,19157,152881,69,48.994884910485936,0.004314485143442623,9638,38416,65,49.173469387755105,0.0024941823304042705,4168,9604,50,42.53061224489796,0.0013935324333947722,1865,2401,42,38.06122448979592
1228671,Andrews.mtx,None,ROW,60000,60000,760154,0.00021115388888888888,59925,59925,59925,17847.772288246855,2992293585,49871.55975,59959,36,12.669233333333333,0,211,700154,0.0003013622717287911,49871.55975,59959,0,26561.766507082728,25820.0,59999,18069.13138616217,700154,60000,7872.792939053059,3274.0,59956,13183.88537104688,0.06668785039120292,712418,225000000,87,47.49453333333334,0.01701390381034236,698100,56250000,146,93.08,0.004408129895280341,673608,14062500,242,179.6288,0.0012157774250434418,610587,3515625,409,325.6464,0.0004080788622448194,454776,879844,553,484.8358208955224,0.0002260964311983748,205205,219961,454,437.53731343283584
1228672,ex3sta1.mtx,None,ROW,16782,16782,678998,0.002410910350925759,12921,12921,12921,3403.132003334325,211991131,12632.05404600167,16740,339,40.459897509236086,0,318253,662216,0.4805879048527973,12632.05404600167,16740,0,3728.548932674535,136.0,16781,5101.8118213650405,662216,16782,624.399637995455,5.0,16781,2145.2003414059277,0.3219293820454856,131822,17606416,293,31.416110581506196,0.13797003420203913,76896,4401604,271,36.65204957102002,0.06611830830113424,40115,1100401,232,38.241182078169686,0.03280158220999258,20215,275625,216,38.50476190476191,0.017451415527292347,9499,69169,152,36.11787072243346,0.009234124113956662,4488,17424,79,34.0
1228673,PGPgiantcompo.mtx,None,ROW,10680,10680,48632,0.00042636311352382556,7337,7337,7337,3201.966976476394,34652574,3244.623033707865,10666,205,4.5535580524344565,0,1410,37952,0.03715219224283305,3244.623033707865,10666,0,2196.7620942242834,1321.5,10603,2298.2558484086676,37952,10680,1484.370237091567,458.0,10581,2139.6757678339213,0.06774617750635224,44866,7128900,205,16.80374531835206,0.018018899243556,42171,1782225,189,31.58876404494382,0.005041767297433584,37679,446224,198,56.40568862275449,0.0016648737117016055,28526,111556,199,85.40718562874251,0.000790114252678512,15027,27889,140,89.98203592814372,0.0005861496285051343,5064,7056,83,60.285714285714285
1228674,epb1.mtx,None,ROW,14734,14734,95053,0.0004378491362386706,140,140,140,53.8960053864686,3065259,208.0398398262522,278,7,6.451269173340573,0,58374,80319,0.7267769768049901,208.0398398262522,280,0,97.34457600318729,6.0,347,151.52830583556815,80319,14734,64.34146572402474,1.0,278,87.26835781539812,0.24961397058823528,23800,13571856,7,6.460369163952226,0.11606776531728666,12796,3392964,7,6.946796959826276,0.058024813447413656,6399,848241,7,6.947882736156352,0.02899881140659169,3201,212521,7,6.943600867678959,0.014476792781113537,1603,53361,7,6.9393939393939394,0.010107273008765244,574,13456,5,4.948275862068965
1228675,af23560.mtx,None,ROW,23560,23560,484256,0.0008724176397508366,304,304,304,90.21066543315932,14188640,602.2342954159593,608,21,20.55415959252971,0,300408,460696,0.6520742528695712,602.2342954159593,608,0,167.73037751575876,20.0,758,289.0476898236016,460696,23560,58.55121991512736,1.0,607,135.5625849765458,0.587210430328664,51542,34692100,9,8.750764006791172,0.3747461740379377,20191,8673025,7,6.856027164685909,0.14525262996237426,13023,2169729,9,8.841140529531568,0.059343236290626176,7969,543169,11,10.812754409769335,0.029653012916980186,3987,136161,11,10.804878048780488,0.023037132209664846,1283,34225,7,6.935135135135135
