job_id,matrix,perm,perm_type,rows,cols,nnz,density,bandwidth_lower,bandwidth_upper,bandwidth_max,bandwidth_avg,locality_profile,locality_avg_row_spread,locality_max_row_spread,locality_max_nnz_per_row,locality_avg_nnz_per_row,locality_num_empty_rows,locality_consecutive_vertical_pairs,locality_total_vertical_pairs,locality_vertical_adjacency_ratio,locality_avg_col_spread,locality_max_col_spread,locality_num_empty_cols,access_dist_reuse_distance_mean,access_dist_reuse_distance_median,access_dist_reuse_distance_max,access_dist_reuse_distance_std,access_dist_reuse_distance_count,access_dist_reuse_distance_cold_misses,access_dist_index_distance_mean,access_dist_index_distance_median,access_dist_index_distance_max,access_dist_index_distance_std,block_density_4,nonzero_blocks_4,total_blocks_4,max_blocks_per_row_4,avg_blocks_per_row_4,block_density_8,nonzero_blocks_8,total_blocks_8,max_blocks_per_row_8,avg_blocks_per_row_8,block_density_16,nonzero_blocks_16,total_blocks_16,max_blocks_per_row_16,avg_blocks_per_row_16,block_density_32,nonzero_blocks_32,total_blocks_32,max_blocks_per_row_32,avg_blocks_per_row_32,block_density_64,nonzero_blocks_64,total_blocks_64,max_blocks_per_row_64,avg_blocks_per_row_64,block_density_128,nonzero_blocks_128,total_blocks_128,max_blocks_per_row_128,avg_blocks_per_row_128
1233350,Pres_Poisson.mtx,None,SYMMETRIC,14822,14822,715804,0.003258220734472589,14803,14803,14803,4840.7790149258735,210666214,14213.076103090001,14816,50,48.29334772635272,0,2324,700982,0.003315349038919687,14213.076103090001,14816,0,7391.396352545429,7399.0,14821,4262.102198243658,700982,14822,588.5943576654471,217.0,14817,2003.7993707421306,0.06500123499840177,688260,13734436,197,185.71505666486777,0.017571972511873656,636493,3433609,374,343.49325418240693,0.00583569564364412,479139,859329,561,516.8705501618123,0.0033826304306273348,206652,215296,458,445.37068965517244,0.003246819930467821,53824,53824,232,232.0,0.003246819930467821,13456,13456,116,116.0
1233361,3elt.mtx,None,SYMMETRIC,4720,4720,27444,0.0012318658431485206,4688,4688,4688,1580.9966477189914,15677816,3321.571186440678,4702,9,5.814406779661017,0,42,22724,0.001848266150325647,3321.571186440678,4702,0,2336.4898785425103,2323.5,4719,1362.547722311455,22724,4720,1142.6792260321392,688.0,4717,1188.2526134670677,0.06308385435821993,27190,1392400,27,23.04237288135593,0.016254596110837346,26381,348100,50,44.7135593220339,0.004542505296610169,23600,87025,89,80.0,0.0017077087581241239,15694,21904,117,106.04054054054055,0.0012312009027012128,5442,5476,74,73.54054054054055,0.0012235564851168735,1369,1369,37,37.0
1233372,G2_circuit.mtx,None,SYMMETRIC,150102,150102,726674,3.225274357728848e-05,150013,150013,150013,39709.13351516636,14711495080,98009.98707545536,150013,6,4.8412013164381555,0,12,576572,2.0812665200530028e-05,98009.98707545536,150013,0,74122.5588877018,73810.0,150101,43155.18226038096,576572,150102,40489.79518022549,27073.0,150012,37759.44593977636,0.07396949990065114,613998,1408200676,21,16.3619357245643,0.019085616300198515,594913,352050169,38,31.706710014390023,0.004859583701409646,584118,88021924,71,62.25943295672565,0.0012371150209543832,573627,22005481,137,122.28245576636111,0.0003228277661281371,549552,5503716,252,234.25063938618925,9.396491438331677e-05,472013,1375929,427,402.39812446717815
1233383,onetone1.mtx,None,SYMMETRIC,36057,36057,341088,0.0002623537406335929,35956,35840,35956,11757.867723285486,851400053,23612.614832071442,36010,81,9.45968882602546,0,299,305031,0.0009802282390970099,22165.520842000165,36037,0,9356.793879966299,5856.0,36039,8994.313003859692,305031,36057,5018.390073500309,1380.0,36033,8014.744017320651,0.06327205380409942,336926,81270225,213,37.37393233499723,0.016057789361093117,331895,20322064,268,73.62355811889974,0.004162059077107621,320124,5080516,355,142.0248447204969,0.0011605285712792534,287019,1270129,443,254.67524401064773,0.00041408145785265337,201104,318096,450,356.5673758865248,0.00026729613372279644,77885,79524,282,276.18794326241135
1233394,Alemdar.mtx,None,SYMMETRIC,6245,6245,42581,0.0010918198129360173,6182,6182,6182,1779.1163194852163,27614433,4421.846757405925,6198,10,6.8184147317854285,0,36,36336,0.0009907529722589167,4421.846757405925,6198,0,2879.7120486569793,2828.0,6244,1728.7106276411537,36336,6245,1296.9157350868952,684.0,6230,1531.818832421339,0.07073443812460131,37624,2439844,34,24.08706786171575,0.018453144501456107,36055,609961,64,46.1651728553137,0.005073728189915505,32783,152881,106,83.84398976982096,0.0017708460868963462,23482,38416,139,119.8061224489796,0.0011082891208022388,9380,9604,98,95.71428571428571,0.001082439811862245,2401,2401,49,49.0
1233405,Andrews.mtx,None,SYMMETRIC,60000,60000,760154,0.00021115388888888888,59923,59923,59923,18465.026065770882,3051205344,50853.4224,59970,36,12.669233333333333,0,137,700154,0.0001956712380419165,50853.4224,59970,0,29003.62406556272,28584.0,59999,17149.8368616511,700154,60000,8027.7926798947055,3447.0,59992,13299.899832448224,0.06653040033384493,714104,225000000,83,47.60693333333333,0.016885034786786993,703428,56250000,137,93.7904,0.004324478928489248,686638,14062500,238,183.10346666666666,0.001166594467052421,636329,3515625,398,339.3754666666667,0.0003844206955287677,482764,879844,563,514.6737739872068,0.0002199879478436177,210903,219961,461,449.6865671641791
1233427,PGPgiantcompo.mtx,None,SYMMETRIC,10680,10680,48632,0.00042636311352382556,10659,10659,10659,3533.9594505675277,39618857,3709.6308052434456,10666,205,4.5535580524344565,0,62,37952,0.0016336424957841484,3709.6308052434456,10666,0,2349.4829784991566,1637.0,10608,2162.8482752268287,37952,10680,1856.8746067323311,749.0,10631,2428.1672030600716,0.0628827375041377,48336,7128900,291,18.103370786516855,0.01596275444824906,47603,1782225,289,35.65767790262172,0.0041939409660897205,45296,446224,278,67.80838323353294,0.001243381178657451,38196,111556,246,114.35928143712574,0.0005326863867827179,22289,27889,166,133.46706586826346,0.00042150833836268104,7042,7056,84,83.83333333333333
1233438,epb1.mtx,None,SYMMETRIC,14734,14734,95053,0.0004378491362386706,14627,14670,14670,4152.115240970827,158866032,10782.274467218678,14710,7,6.451269173340573,0,52,80319,0.000647418419054022,10298.127053074522,14715,0,6745.557551762347,6542.0,14733,4087.1581782821845,80319,14734,3342.5633863569415,1909.0,14710,3684.2070419814345,0.070959645728073,83721,13571856,25,22.72557003257329,0.018324529611351018,81050,3392964,49,44.00108577633008,0.0048005169142554234,77346,848241,93,83.98045602605863,0.0013849959015323327,67022,212521,158,145.38394793926247,0.0005617598360717744,41310,53361,194,178.83116883116884,0.0004363398546202805,13296,13456,116,114.62068965517241
1233449,af23560.mtx,None,SYMMETRIC,23560,23560,484256,0.0008724176397508366,23527,23527,23527,7454.645736965572,503417352,21367.459762308998,23532,21,20.55415959252971,0,415,460696,0.0009008109469151024,21364.2074278438,23532,0,11732.775348602983,11744.0,23559,6782.459234356977,460696,23560,2079.0929262475347,839.0,23550,4492.4409868172515,0.06527543533491781,463666,34692100,81,78.72088285229202,0.016742044403534936,451946,8673025,161,153.46213921901528,0.004538001300255973,416841,2169729,302,282.9877800407332,0.0015182068445214936,311490,543169,450,422.64586160108547,0.000900423930510811,131301,136161,365,355.8292682926829,0.0008677051529518832,34063,34225,185,184.12432432432433
1233471,human_gene1.mtx,None,SYMMETRIC,22283,22283,24669643,0.049683884579713435,22281,22281,22281,7434.479713224873,469597549,21074.2516268007,22282,7939,1107.1060000897546,0,3249767,24647360,0.13185051056178024,21074.2516268007,22282,0,6718.483023009361,5911.0,22270,3885.9002712602983,24647360,22283,38.069983099065645,6.0,22282,646.8436304430969,0.10374261242665918,14862289,31036041,5061,2667.795548375516,0.05634948672115522,6840580,7761796,2776,2455.340990667624,0.04974270330320526,1937285,1940449,1393,1390.7286432160804,0.04959037037639793,485809,485809,697,697.0,0.04944837941024191,121801,121801,349,349.0,0.04916622090242347,30625,30625,175,175.0
